LYBNo|SaleDate|ShopCode|SalesMemoNo|GTIN|GTINDescription|QuantitySold|NetSales|ExtractionDate
LYB003773897|2024-02-22|0368|135025101|33591|CONDITIONER GINGER 250ML A0X RENO 2023|1.0|44.25|2024-02-22
LYB000724331|2024-02-22|0359|23014883|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB008656106|2024-02-22|0389|244017448|18412|FACE WASH TEA TREE 250ML A0X 2022 (x)|1.0|65.0|2024-02-22
LYB009979776|2024-02-22|0399|93013316|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|1.0|83.3|2024-02-22
LYB010883509|2024-02-22|8801|83017179|97150|EDT BLACK MUSK 60ML A0X RENO 2021|1.0|143.65|2024-02-22
LYB000740010|2024-02-22|0310|129036713|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|1.0|26.25|2024-02-22
LYB000827610|2024-02-22|0332|63013661|18247|CLEANSING FOAM BRIGHTENING DOL 125ML A0X 2022|1.0|78.75|2024-02-22
LYB010883369|2024-02-22|8806|231011214|23234|VIRTUAL REFILL SHAMPOO GINGER 300ML A0|1.0|50.15|2024-02-22
LYB007544540|2024-02-22|K010|11805744|26962|TONER HYDRATING VITAMIN E 250ML A0X RENO 2023|1.0|49.0|2024-02-22
LYB009377473|2024-02-22|8701|19805593|37701|PILLOW MIST LAV & VETIVER (CALM) 100ML A0X|1.0|96.75|2024-02-22
LYB004160902|2024-02-22|0506|13806932|31286|HAND BALM SHEA 30ML A0X RENO 2023|2.0|52.5|2024-02-22
LYB010618215|2024-02-22|0606|145014481|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|18.7|2024-02-22
LYB007335380|2024-02-22|0307|25403349|37701|PILLOW MIST LAV & VETIVER (CALM) 100ML A0X|4.0|387.0|2024-02-22
LYB010883518|2024-02-22|0908|14306442|18637|MESH POUCH HONEY A0|1.0|0.0|2024-02-22
LYB010883323|2024-02-22|0720|98027076|37677|BODY SCRUB SHEA 240ML A0X RENO 2023|1.0|100.3|2024-02-22
LYB010533570|2024-02-22|0720|98027088|25325|SHOWER GEL PEPPERMINT 250ML A0X 2024|1.0|33.75|2024-02-22
LYB006701323|2024-02-22|0902|23305674|18959|HAIR SERUM GRAPESEED 60ML 2022|3.0|135.0|2024-02-22
LYB008918556|2024-02-22|0303|25014444|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|50.15|2024-02-22
LYB009377473|2024-02-22|8701|19805593|12222|HAND SANITISER LEMON 100ML A0X 2020|1.0|17.5|2024-02-22
LYB001931707|2024-02-22|0332|63013674|18663|EDT CHOICE GLOWING CHERRY BLOSSOM 50ML A0X|1.0|119.25|2024-02-22
LYB002099992|2024-02-22|0361|69012780|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|50.15|2024-02-22
LYB003773897|2024-02-22|0368|135025101|42010|HAND CREAM SATSUMA 30ML A0X RENO 2023|2.0|52.5|2024-02-22
LYB006789321|2024-02-22|0389|24805766|25600|DEODORANT ANTIPER BLUE MUSK ZEST 50ML AX|1.0|34.0|2024-02-22
LYB008461386|2024-02-22|0368|135025090|19363|SHOWER GEL BRITISH ROSE 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010013128|2024-02-22|0602|73012877|34543|BODY LOTION ALMOND MILK 200ML A0X RENO 2023|1.0|68.0|2024-02-22
LYB003402856|2024-02-22|0507|25104902|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB000435349|2024-02-22|0907|4708313|17954|CONCENTRATE EDELWEISS 30ML A1A|1.0|229.0|2024-02-22
LYB001614970|2024-02-22|0352|124015972|17387|LIPSTICK PEPTALK THINK BIG 4G A0X  (Refill)|1.0|79.0|2024-02-22
LYB003553646|2024-02-22|0507|25104916|337|2023 XMAS MINI GIFT PAPER BAG|1.0|0.5|2024-02-22
LYB010883536|2024-02-22|0353|44012005|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB001076125|2024-02-22|0340|22907032|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|39.7|2024-02-22
LYB003159343|2024-02-22|8902|8908531|95778|DEEP CLEANSER ENERGISING GUARANA & COFFEE 150ML A0X 2021|1.0|50.0|2024-02-22
LYB010884100|2024-02-22|0710|86016501|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB002348463|2024-02-22|0315|121019170|97027|OOL FACIAL OIL 50ML AOX 2021|1.0|216.75|2024-02-22
LYB000855419|2024-02-22|0344|11405055|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB000996293|2024-02-22|0332|63013680|97642|LIP BUTTER STRAWBERRY 10ML A0X RENO 2021|1.0|30.0|2024-02-22
LYB002030528|2024-02-22|0332|63013690|38334|RAPID GEL TEA TREE 15ML A23 RENO 2023|1.0|41.25|2024-02-22
LYB005601549|2024-02-22|0413|113011297|26025|SHAMPOO SHEA RENO 60ML A0X|1.0|0.0|2024-02-22
LYB010883697|2024-02-22|0343|212011215|17973|EYE CONCENTRATE EDELWEISS 10ML|1.0|119.25|2024-02-22
LYB009951761|2024-02-22|0502|32011194|37694|BODY GEL CREAM ECLYP & RSMRY FLOW 200ML A0X|4.0|537.0|2024-02-22
LYB006351979|2024-02-22|0334|94021494|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|36.0|2024-02-22
LYB002170400|2024-02-22|0327|21014784|96133|SHOWER SCRUB BRITISH ROSE 200ML A0X RENO 2022|1.0|44.25|2024-02-22
LYB010883554|2024-02-22|0334|94021476|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB008461386|2024-02-22|0368|135025092|33534|SHAMPOO TEA TREE 400ML A0X 2023|1.0|45.0|2024-02-22
